cell	keep	rename_to
fine_scores.Endothelial_cells.blood_vessel	no	na
fine_scores.Endothelial_cells.lymphatic	no	na
fine_scores.Endothelial_cells.lymphatic.KSHV	no	na
fine_scores.Endothelial_cells.lymphatic.TNFa_48h	no	na
fine_scores.Epithelial_cells.bladder	no	na
fine_scores.Epithelial_cells.bronchial	no	na
fine_scores.Erythroblast	no	na
fine_scores.Fibroblasts.breast	no	na
fine_scores.Fibroblasts.foreskin	no	na
fine_scores.GMP	no	na
fine_scores.Gametocytes.oocyte	no	na
fine_scores.Gametocytes.spermatocyte	no	na
fine_scores.HSC_.G.CSF	no	na
fine_scores.HSC_CD34.	no	na
fine_scores.Hepatocytes	no	na
fine_scores.Keratinocytes	no	na
fine_scores.Keratinocytes.IFNg	no	na
fine_scores.Keratinocytes.IL19	no	na
fine_scores.Keratinocytes.IL1b	no	na
fine_scores.Keratinocytes.IL20	no	na
fine_scores.Keratinocytes.IL22	no	na
fine_scores.Keratinocytes.IL24	no	na
fine_scores.Keratinocytes.IL26	no	na
fine_scores.Keratinocytes.KGF	no	na
fine_scores.MEP	no	na
fine_scores.MSC	no	na
fine_scores.Macrophage.Alveolar	no	na
fine_scores.Macrophage.Alveolar.B._anthacis_spores	no	na
fine_scores.Macrophage.monocyte.derived	no	na
fine_scores.Macrophage.monocyte.derived.IFNa	no	na
fine_scores.Macrophage.monocyte.derived.IL.4.Dex.TGFb	no	na
fine_scores.Macrophage.monocyte.derived.IL.4.Dex.cntrl	no	na
fine_scores.Macrophage.monocyte.derived.IL.4.TGFb	no	na
fine_scores.Macrophage.monocyte.derived.IL.4.cntrl	no	na
fine_scores.Macrophage.monocyte.derived.M.CSF	no	na
fine_scores.Macrophage.monocyte.derived.M.CSF.IFNg	no	na
fine_scores.Macrophage.monocyte.derived.M.CSF.IFNg.Pam3Cys	no	na
fine_scores.Macrophage.monocyte.derived.M.CSF.Pam3Cys	no	na
fine_scores.Macrophage.monocyte.derived.S._aureus	no	na
fine_scores.Monocyte	no	na
fine_scores.Monocyte.CD14.	no	na
fine_scores.Monocyte.CD16.	no	na
fine_scores.Monocyte.CXCL4	no	na
fine_scores.Monocyte.F._tularensis_novicida	no	na
fine_scores.Monocyte.MCSF	no	na
fine_scores.Monocyte.S._typhimurium_flagellin	no	na
fine_scores.Monocyte.anti.FcgRIIB	no	na
fine_scores.Monocyte.leukotriene_D4	no	na
fine_scores.Myelocyte	no	na
fine_scores.NK_cell	no	na
fine_scores.NK_cell.CD56hiCD62L.	no	na
fine_scores.NK_cell.IL2	no	na
fine_scores.Neuroepithelial_cell.ESC.derived	no	na
fine_scores.Neurons.ES_cell.derived_neural_precursor	no	na
fine_scores.Neurons.Schwann_cell	no	na
fine_scores.Neurons.adrenal_medulla_cell_line	no	na
fine_scores.Neutrophil	no	na
fine_scores.Neutrophil.GM.CSF_IFNg	no	na
fine_scores.Neutrophil.LPS	no	na
fine_scores.Neutrophil.commensal_E._coli_MG1655	no	na
fine_scores.Neutrophil.inflam	no	na
fine_scores.Neutrophil.uropathogenic_E._coli_UTI89	no	na
fine_scores.Osteoblasts	no	na
fine_scores.Osteoblasts.BMP2	no	na
fine_scores.Platelets	no	na
fine_scores.Pre.B_cell_CD34.	no	na
fine_scores.Pro.B_cell_CD34.	no	na
fine_scores.Pro.Myelocyte	no	na
fine_scores.Smooth_muscle_cells.bronchial	no	na
fine_scores.Smooth_muscle_cells.bronchial.vit_D	no	na
fine_scores.Smooth_muscle_cells.umbilical_vein	no	na
fine_scores.Smooth_muscle_cells.vascular	no	na
fine_scores.Smooth_muscle_cells.vascular.IL.17	no	na
fine_scores.T_cell.CCR10.CLA.1.25.OH.2_vit_D3.IL.12	no	na
fine_scores.T_cell.CD4.	no	na
fine_scores.T_cell.CD4._Naive	no	na
fine_scores.T_cell.CD4._central_memory	no	na
fine_scores.T_cell.CD4._effector_memory	no	na
fine_scores.T_cell.CD8.	no	na
fine_scores.T_cell.CD8._Central_memory	no	na
fine_scores.T_cell.CD8._effector_memory	no	na
fine_scores.T_cell.CD8._effector_memory_RA	no	na
fine_scores.T_cell.CD8._naive	no	na
fine_scores.T_cell.Treg.Naive	no	na
fine_scores.T_cell.effector	no	na
fine_scores.T_cell.gamma.delta	no	na
fine_scores.Tissue_stem_cells.BM_MSC	no	na
fine_scores.Tissue_stem_cells.BM_MSC.BMP2	no	na
fine_scores.Tissue_stem_cells.BM_MSC.TGFb3	no	na
